predicted_sentiment,confidence
Negative,0.96237344
Positive,0.9039606
Positive,0.9881486
Positive,0.98821056
Positive,0.98126006
Positive,0.9872585
Negative,0.9581642
Positive,0.984917
Positive,0.99076253
Negative,0.9938403
Negative,0.9810034
Positive,0.98697567
Negative,0.7180694
Positive,0.98661834
Positive,0.9872798
Positive,0.98053265
Positive,0.9825732
Positive,0.9827255
Positive,0.98936033
Negative,0.9865947
Positive,0.9874297
Negative,0.99343383
Negative,0.9940454
Positive,0.9892085
Negative,0.97960186
Positive,0.9869372
Positive,0.986597
Positive,0.69149595
Positive,0.98946124
Positive,0.9724688
Positive,0.97736835
Positive,0.98754674
Positive,0.96537924
Positive,0.9882053
Positive,0.98665756
Positive,0.961781
Positive,0.8803975
Positive,0.95091337
Positive,0.98261327
Positive,0.9812511
Positive,0.9901357
Negative,0.9964162
Positive,0.9765105
Negative,0.9917354
Positive,0.9840741
Positive,0.971503
Positive,0.9880262
Positive,0.9861666
Positive,0.97353
Positive,0.98359156
Positive,0.9861463
Positive,0.9678019
Positive,0.9860406
Positive,0.9825394
Negative,0.9963206
Negative,0.9656644
Negative,0.9275471
Negative,0.9850152
Positive,0.9857449
Positive,0.9832818
Positive,0.9855627
Negative,0.9868671
Positive,0.9875668
Positive,0.9887157
Positive,0.8669015
Positive,0.97353
Negative,0.906387
Negative,0.9939453
Positive,0.86077684
Negative,0.994863
Negative,0.5085056
Negative,0.9964882
Positive,0.9582007
Positive,0.9888742
Positive,0.988791
Negative,0.81705695
Positive,0.98444694
Negative,0.6425578
Positive,0.98787177
Negative,0.99648064
Positive,0.9891305
Positive,0.9858338
Positive,0.8669015
Positive,0.870645
Negative,0.9957819
Positive,0.98486483
Positive,0.9846705
Positive,0.98361236
Positive,0.97027934
Negative,0.99368495
Positive,0.98562914
Negative,0.994699
Positive,0.9816659
Negative,0.99544626
Negative,0.97720075
Positive,0.98811275
Negative,0.99463487
Positive,0.985435
Negative,0.99597126
Positive,0.98543674
Negative,0.8155097
Positive,0.98580325
Positive,0.9817707
Negative,0.9959319
Negative,0.99137586
Negative,0.9864956
Negative,0.990613
Positive,0.79112214
Positive,0.9880575
Positive,0.97353
Positive,0.98242193
Negative,0.9969318
Positive,0.98090416
Positive,0.9883936
Positive,0.9835543
Positive,0.98829865
Positive,0.9861463
Positive,0.9817707
Positive,0.9773112
Positive,0.9809171
Negative,0.99219865
Negative,0.9948598
Positive,0.9719873
Positive,0.9477317
Positive,0.98945796
Positive,0.8669015
Negative,0.84938055
Positive,0.9855054
Negative,0.8478078
Positive,0.9891622
Positive,0.9897842
Positive,0.97707283
Positive,0.99079216
Positive,0.86332226
Positive,0.96747077
Negative,0.9965842
Positive,0.9476626
Positive,0.8669016
Negative,0.91332906
Positive,0.94641775
Negative,0.9623194
Positive,0.9843748
Negative,0.99217355
Positive,0.8669016
Negative,0.90916055
Negative,0.99682474
Positive,0.98537445
Positive,0.97858995
Negative,0.96659166
Positive,0.9903842
Positive,0.98594207
Negative,0.9918522
Positive,0.9856952
Negative,0.9812108
Positive,0.98388517
Positive,0.9872798
Positive,0.8669016
Negative,0.95410806
Negative,0.99268794
Positive,0.914044
Negative,0.99621046
Positive,0.9855312
Negative,0.93799025
Positive,0.9889839
Positive,0.9870231
Positive,0.98602587
Positive,0.9821951
