content,score,appVersion,topic_label
"""You can't make requests right now You're listening through a device that can't handle requests. You can tap ""Let DJ pick"" below, and your DJ will play something else."" I have a top of the line device, and I've made many requests before, even right before this message popped up. Stop making up excuses and blaming the customers devices because your Mid-tier Ai can't handle a simple request.",1,9.1.48.1663,AI DJ and AI Artists
"Sad I have to change my review. The AI makes the app so slow it's basically unusable. It eats my phone battery like it's freshly baked hot cakes, and the app opens without permission like it's begging for attention.",1,9.1.56.574,AI DJ and AI Artists
I cancelled my family subscription because of all the AI music recommendations it made. we switched to Deezer.,1,9.1.34.2060,AI DJ and AI Artists
"I signed back up for Spotify. The first thing I see and hear is Ai artists, then another, and another one. Spotify should be looking into marking which artist is Ai. I find this absolutely deceitful. Why am I paying to listen to Ai?",1,9.1.52.1394,AI DJ and AI Artists
"Very poor interface - if you just want a list of an artist's albums. Far too much scrolling and tapping to get where you want. New ""DJ"" feature is the most irritating, childish, and functionally useless feature ever conceived, with a hidden agenda for promoting highly commercial acts that do not fit your preferences/listening history at all. Sadly, DJ can't be turned off/deleted, only ignored until it goes away. Far too expensive. They use bots to give useless responses to support questions.",2,9.1.28.2252,AI DJ and AI Artists
"the AI dj feature never gets anything right. ask to play Ye, it plays Yes (prog rock) after the first song. hilarious, but annoying. even more hilarious, Spotify AB suggests I reinstall the app to make the AI better 😂... you guys just lost a star",3,9.1.56.574,AI DJ and AI Artists
"Their customer service is worst than worst, depends who you speak to you will get 10 different answers no one knows anything. EVERYTHING is AI now and when you talk to a human being they are worst than the AI",1,9.1.44.2120,AI DJ and AI Artists
"started adding AI music, I want art made by real humans.",1,9.1.28.2252,AI DJ and AI Artists
"Disappointed in all the AI in the app now, it's such a shame that y'all didn't even care enough to see if your users wanted these changes before inflicting them upon us. genuinely the user experience has severely dropped since the beginning of this year, and I've been a loyal premium acct user for about a decade.",2,9.1.40.1486,AI DJ and AI Artists
The app is going down and down and the price up and up. I've almost had it after 10 years of subscription. There is so much clutter being added with every update and AI music is being sneaked into AI-generated playlists. The app's enshittification accelerates and Daniel Ek bankrolls AI weapons companies with it's profits.,2,9.1.34.2060,AI DJ and AI Artists
"you forgotten customer satisfaction & word-of-mouth advertisement. You focus too much on the customers you already have. not on the customers you could have, who don't speak well of you causing you to lose customers. Here's the thing, I got a advertisement saying that you had a certain song. I downloaded your app, that song was not available. I talk to the AI assistant, but talking to a technician cost $5. Arrogance and greed all in one package. How efficient of you.",1,,AI DJ and AI Artists
Ai music is being used to take money from real artists and this app is complicit.,1,9.1.52.1394,AI DJ and AI Artists
"The new ""AI DJ"" thing is cringe and obnoxious. And instantly fed me music genres that I would absolutely never listen to. Didn't expect Spotify to become Sloppify but ok",1,9.1.24.1739,AI DJ and AI Artists
i usally like spotify but all the recent ai stuff has seriously bloated the app and everything about it i keep getting loading errors and i cant log in without being shoved into offline mode my internet is fine and i've cleared my cache and downloads multiple times,1,9.1.56.574,AI DJ and AI Artists
can't find my wifi speakers and full of ai slop,4,9.1.44.2120,AI DJ and AI Artists
The amount of ai slop meaning useless or anti art features coming to this app is unbearable,1,,AI DJ and AI Artists
used to be great but now it tries to generate an AI summary for every song. super unhelpful and slows down the app. wish I could turn it off.,1,9.1.24.1739,AI DJ and AI Artists
"They're wasting resources on a garbage Ai DJ nobody asked for and now they took away the 4x1 widget and only have a 4x2. When i play my library on shuffle it often gets stuck in a loop of about 30 songs, sometimes days later when starting the shuffle from a hand picked song not in the previous shuffle. other than that stuff its been great.",2,9.1.52.1394,AI DJ and AI Artists
Please label AI songs as such. I want to support human artists. please have the lyrics page always on when I select it even if I switch music or have it revert to the top when I repeat one.,1,9.1.24.1739,AI DJ and AI Artists
"otherwise good, but it is so laggy, and buggy. Fix your code Spotify. I have a feeling they used AI to code this",2,9.1.58.1567,AI DJ and AI Artists
"need premium to play and select songs, And it always plays random songs that don't match the playlist I chose.",1,9.1.40.1486,Ads and Premium Upsell
"app is really horrible now, back then it was really good and barely has ads, can skip without premium, choose songs without premium, now it's just garbage and whenever im trying to listen to a song theres always 3 ads pops up alot, This app have really turned terrible.",1,9.1.50.1906,Ads and Premium Upsell
"7 ads now in a row they say 30min free music but I listen to two 4min songs and I get 5 more ads now the app is glitching for the past month saying im ""offline"" even if im just on data ""offline"" so cant even listen to the ads",1,8.9.16.593,Ads and Premium Upsell
too many ads I'm not wasting my money just for a one month premium,1,9.1.58.1567,Ads and Premium Upsell
"Too many ads ,I understand the need for ads, but now it is way too much, like I hear more ads than I even hear my own playlist, it was fine before. I would have taken premium but nah, this is horrible , annoying me with ads to just take premium, nah . And the random shuffle you can't even turn off, useless, I'd rather take yt music premium.",1,9.0.18.604,Ads and Premium Upsell
"this is a nice platform for music, almost every song is available but for repeating, downloading, you need premium. Now even for choosing a song from playlist, u have to get premium. And even u can't skip more than 6 times",1,9.1.42.2058,Ads and Premium Upsell
"bloody hopeless, won't connect to my account where I'm a creator, insists on opening an account using my phones login. who acts to rent music? i have hundreds of cds I own, and there are better podcast apps.",1,,Ads and Premium Upsell
"bro...why the hell do we have to pay for no ads? this is so dumb this is why I use other apps that actually work, this app sucks I don't know why people actually buy it and pay for no ads.",1,9.1.48.1663,Ads and Premium Upsell
too much ads like after every one song a 30 sec ads come,1,9.1.24.1739,Ads and Premium Upsell
I NEED TO PAY ON PHONE JUST TO REPEAT AND PLAY 5 SECONDS BACK???? IM SWITCHING TO APPLE MUSIC.,1,9.1.48.1663,Ads and Premium Upsell
"the app has gotten worse overtime,after every song I get 2-5 ads no matter what and its very annoying I recommend using YouTube music or soundcloud",2,,Ads and Premium Upsell
two to three ads after every two songs is just petty,1,8.9.82.620,Ads and Premium Upsell
ads n ads n adssssss thosee disgusting adss... always keep begging for subscribing to premium in them ..,1,9.1.16.1450,Ads and Premium Upsell
"horrible, might as well make it say ""Watch 20 ads to download."" ""Watch 20 ads for a 2 minute song and not being able to replay a certain part YOU want."" ""Enjoy your last 30 minutes of AD FREE MUSIC? cut it to 5 minutes without ads."" THERES MORE MUSIC APPS THAT ARE BETTER",1,9.1.24.1739,Ads and Premium Upsell
