appVersion,total_reviews,negative_reviews,negative_rate
9.0.90.1229,113,48,0.4247787610619469
9.0.94.274,114,48,0.42105263157894735
9.0.96.826,103,48,0.46601941747572817
9.1.0.1147,165,100,0.6060606060606061
9.1.12.226,112,44,0.39285714285714285
9.1.14.864,196,68,0.3469387755102041
9.1.16.1450,283,97,0.34275618374558303
9.1.18.1504,254,75,0.2952755905511811
9.1.2.1253,115,54,0.46956521739130436
9.1.20.1452,574,144,0.2508710801393728
9.1.22.1630,1341,369,0.2751677852348993
9.1.24.1739,7892,2472,0.31322858590978203
9.1.28.2252,3662,1140,0.3113052976515565
9.1.30.1993,3297,1132,0.34334243251440705
9.1.32.2083,4110,1556,0.3785888077858881
9.1.34.2060,6319,1938,0.3066940971672733
9.1.36.1948,4443,1199,0.2698627053792483
9.1.40.1486,3706,992,0.2676740420939018
9.1.42.2058,6151,1693,0.2752397984067631
9.1.44.2120,9640,3414,0.354149377593361
9.1.46.1922,150,85,0.5666666666666667
9.1.46.1936,188,145,0.7712765957446809
9.1.48.1661,164,123,0.75
9.1.48.1663,958,359,0.3747390396659708
9.1.50.1906,3501,1160,0.3313339045986861
9.1.52.1394,10835,3679,0.3395477618827873
9.1.56.574,1654,657,0.39721886336154777
9.1.58.1567,3601,1377,0.38239377950569287
9.1.6.1145,312,122,0.391025641025641
9.1.60.1970,4461,1502,0.33669580811477245
9.1.62.1601,1351,474,0.35085122131754254
