appVersion,topic_label,count
2.6.0.813,Ads and Premium Upsell,1
3.5.0.963,Shuffle Algorithm,1
5.6.0.701,Offline Mode Not Working,1
7.5.0.1076,General App Dissatisfaction,1
8.4.0.539,General App Dissatisfaction,1
8.4.11.1283,General App Dissatisfaction,1
8.4.29.289,AI DJ and AI Artists,1
8.4.4.810,Ads and Premium Upsell,1
8.4.81.558,Offline Mode Not Working,1
8.4.84.874,General App Dissatisfaction,2
8.5.10.774,General App Dissatisfaction,1
8.5.32.889,Liked Songs Disappearing,1
8.5.59.1137,Subscription and Payment Issues,1
8.5.88.883,Ads and Premium Upsell,1
8.5.89.901,App Crashes and Bugs,1
8.5.89.901,Payment Not Processed,1
8.5.89.901,Subscription and Payment Issues,1
8.6.2.774,App Crashes and Bugs,1
8.6.20.1063,App Crashes and Bugs,1
8.6.20.1063,Podcast Playback Issues,1
8.6.24.918,AI DJ and AI Artists,1
8.6.30.889,Ads and Premium Upsell,1
8.6.30.889,App Slowness and Lag,1
8.6.32.925,Ads and Premium Upsell,1
8.6.34.749,AI DJ and AI Artists,1
8.6.36.1070,AI DJ and AI Artists,1
8.6.4.971,General App Dissatisfaction,1
8.6.42.671,General App Dissatisfaction,2
8.6.46.886,Ads and Premium Upsell,1
8.6.46.886,General App Dissatisfaction,1
8.6.48.796,General App Dissatisfaction,2
8.6.52.916,Offline Mode Not Working,1
8.6.54.818,General App Dissatisfaction,1
8.6.60.1126,App Crashes and Bugs,1
8.6.66.1238,General App Dissatisfaction,1
8.6.72.1121,Ads and Premium Upsell,1
8.6.74.1176,AI DJ and AI Artists,1
8.6.74.1176,General App Dissatisfaction,2
8.6.78.266,Cannot Choose Songs on Free,1
8.6.82.1113,General App Dissatisfaction,1
8.6.82.1113,Offline Mode Not Working,1
8.6.84.1240,App Crashes and Bugs,1
8.6.88.1104,Ads and Premium Upsell,1
8.6.88.1104,General App Dissatisfaction,2
8.6.94.306,AI DJ and AI Artists,1
8.6.96.422,App Crashes and Bugs,1
8.7.0.1154,Cannot Reorder Playlist,1
8.7.20.1261,Podcast Playback Issues,1
8.7.24.1111,Ads and Premium Upsell,1
8.7.28.1217,General App Dissatisfaction,1
8.7.28.1217,Login and Account Issues,1
8.7.28.1217,Offline Mode Not Working,1
8.7.32.1554,General App Dissatisfaction,3
8.7.36.905,Ads and Premium Upsell,1
8.7.38.666,Ads and Premium Upsell,1
8.7.38.671,Ads and Premium Upsell,1
8.7.4.1056,General App Dissatisfaction,1
8.7.42.943,App Slowness and Lag,1
8.7.42.943,General App Dissatisfaction,1
8.7.44.968,General App Dissatisfaction,1
8.7.44.968,Search Function Issues,1
8.7.48.1058,Subscription and Payment Issues,1
8.7.48.1058,Widget Issues,1
8.7.48.1062,General App Dissatisfaction,2
8.7.52.1010,General App Dissatisfaction,3
8.7.54.403,Ads and Premium Upsell,1
8.7.54.403,App Crashes and Bugs,1
8.7.56.421,Ads and Premium Upsell,2
8.7.56.421,General App Dissatisfaction,1
8.7.6.1083,Ads and Premium Upsell,1
8.7.64.478,Premium Pricing and Ads,1
8.7.66.534,General App Dissatisfaction,1
8.7.68.568,Ads and Premium Upsell,3
8.7.68.568,Missing Lossless Audio,1
8.7.68.568,Podcast Playback Issues,1
8.7.70.553,Ads on Premium and Podcasts,1
8.7.72.546,AI DJ and AI Artists,2
8.7.72.546,Ads and Premium Upsell,1
8.7.74.443,Ads and Premium Upsell,1
8.7.76.359,Ads and Premium Upsell,1
8.7.78.373,General App Dissatisfaction,1
8.7.78.383,App Crashes and Bugs,1
8.7.82.94,App Getting Worse with Updates,1
8.7.84.382,Payment Not Processed,1
8.7.84.382,Subscription and Payment Issues,1
8.7.86.422,Subscription and Payment Issues,2
8.7.88.496,General App Dissatisfaction,1
8.7.88.496,Login and Account Issues,1
8.7.90.544,General App Dissatisfaction,1
8.7.92.521,Ads and Premium Upsell,2
8.7.92.521,App Crashes and Bugs,1
8.7.92.521,App Getting Worse with Updates,1
8.7.92.521,General App Dissatisfaction,2
8.7.92.521,Widget Issues,1
8.8.0.347,App Crashes and Bugs,1
8.8.0.347,General App Dissatisfaction,1
8.8.12.545,Ads and Premium Upsell,2
8.8.12.545,General App Dissatisfaction,1
8.8.14.575,AI DJ and AI Artists,1
8.8.14.575,App Crashes and Bugs,1
8.8.14.575,General App Dissatisfaction,2
8.8.16.615,Ads and Premium Upsell,1
8.8.16.615,General App Dissatisfaction,2
8.8.2.434,General App Dissatisfaction,1
8.8.22.510,Ads and Premium Upsell,1
8.8.22.510,False Offline Status,1
8.8.22.510,Free Version Too Restricted,1
8.8.22.510,General App Dissatisfaction,1
8.8.26.408,General App Dissatisfaction,1
8.8.28.409,Ads and Premium Upsell,1
8.8.28.409,Widget Issues,1
8.8.32.508,Ads and Premium Upsell,1
8.8.36.522,Login and Account Issues,1
8.8.36.522,Widget Issues,1
8.8.4.518,Ads and Premium Upsell,1
8.8.40.470,Ads and Premium Upsell,1
8.8.40.470,General App Dissatisfaction,2
8.8.40.470,Subscription and Payment Issues,1
8.8.44.527,General App Dissatisfaction,1
8.8.46.529,Ads and Premium Upsell,1
8.8.50.466,Ads and Premium Upsell,1
8.8.52.458,General App Dissatisfaction,1
8.8.54.481,General App Dissatisfaction,2
8.8.56.538,Ads and Premium Upsell,1
8.8.58.473,Ads and Premium Upsell,2
8.8.58.473,General App Dissatisfaction,2
8.8.58.473,Podcast Playback Issues,1
8.8.6.472,Missing or Wrong Lyrics,1
